organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,lit_taxon_type_ord,target_genus,lit_genus,target_family,lit_family,database,trait_record_id,citation,population_state,population_description,study_latitude,study_longitude,trait_group,trait_value,trait_unit,aphia_id,life_stage,quality_status,link
2450,Aulodrilus japonicus,Species,Aulodrilus japonicus,species,target,1,NA,NA,NA,NA,worms,NA,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",NA,NA,NA,NA,body_size_max,25,mm,1037336,adult,unreviewed,NA
4310,Synidotea laticauda,species,Synidotea laticauda,species,target,1,NA,NA,NA,NA,NEMESIS,NA,"Spain (Cuesta et al. 1996, probably male); female, 16 mm (Netherlands, Faasse 2011).",NA,NA,NA,NA,body_size_max,25.3,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/546963
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,1,NA,NA,NA,NA,NEMESIS,NA,Carlton et al. 1990,NA,NA,NA,NA,body_size_max,27.5,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/81746
2430,Aulodrilus pigueti,Species,Aulodrilus pigueti,species,target,1,NA,NA,NA,NA,worms,NA,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",NA,NA,NA,NA,body_size_max,28,mm,1040647,adult,unreviewed,NA
1130,Prostoma graecense,Species,Prostoma graecense,species,target,1,Prostoma,Prostoma,Prostomatidae,Tetrastemmatidae,USGS,6320,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm,NA,NA,NA,NA
2090,Dero trifida,Species,Ophidonais serpentina,family,confamilial,5,Dero,Ophidonais,Naididae,Naididae,USGS,6339,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm,NA,NA,NA,NA
2470,Bothrioneurum vejdovskyanum,Species,Bothrioneurum vejdovskyanum,species,target,1,NA,NA,NA,NA,worms,NA,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",NA,NA,NA,NA,body_size_max,35,mm,1040573,adult,unreviewed,NA
2630,Quistadrilus multisetosus,Species,Quistadrilus multisetosus,species,target,1,NA,NA,NA,NA,worms,NA,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",NA,NA,NA,NA,body_size_max,35,mm,1037349,adult,unreviewed,NA
6630,Melanoides tuberculata,species,Melanoides tuberculata,species,target,1,NA,NA,NA,NA,NEMESIS,NA,Thompson (2004),NA,NA,NA,NA,body_size_max,36,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/71533
6810,Macoma petalum,species,Macoma petalum,species,target,1,NA,NA,NA,NA,NEMESIS,NA,"(Abbott 1974, as M. balthica; Gosner 1978)",NA,NA,NA,NA,body_size_max,38,mm,NA,NA,NA,https://invasions.si.edu/nemesis/species_summary/-204
