organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,database,field_lab,population_country,population_state,population_description,trait_group,trait_value_rank,trait_value,trait_unit
6810,Macoma petalum,species,Macoma petalum,species,target,"(Abbott 1974, as M. balthica; Gosner 1978)",NEMESIS,NA,NA,NA,NA,body_size_max,NA,38,mm
2970,Mooreobdella microstoma,species,Mooreobdella microstoma,species,target,Ecology and Classification of North American Freshwater Invertebrates.,USGS,NA,NA,NA,NA,body_size_max,NA,50,mm
2650,Embolocephalus nikolskyi,species,Embolocephalus nikolskyi,species,target,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",worms,NA,NA,NA,NA,body_size_max,NA,50,mm
2550,Limnodrilus hoffmeisteri,species,Limnodrilus hoffmeisteri,species,target,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",worms,NA,NA,NA,NA,body_size_max,NA,60,mm
6730,Corbicula fluminea,species,Corbicula fluminea,species,target,McMahon 1983,NEMESIS,NA,NA,NA,NA,body_size_max,NA,60,mm
2530,Ilyodrilus templetoni,species,Ilyodrilus templetoni,species,target,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,USGS,NA,NA,NA,In all regions where this species occurs,body_size_max,NA,65,mm
2610,Psammoryctides californianus,species,Psammoryctides californianus,species,target,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",worms,NA,NA,NA,NA,body_size_max,NA,75,mm
2570,Limnodrilus udekemianus,species,Limnodrilus udekemianus,species,target,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",worms,NA,NA,NA,NA,body_size_max,NA,90,mm
2850,Lumbriculus variegatus,species,Lumbriculus variegatus,species,target,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",worms,NA,NA,NA,NA,body_size_max,NA,100,mm
3130,Marenzelleria neglecta,species,Marenzelleria neglecta,species,target,Sikorski and Bick 2004,NEMESIS,NA,NA,NA,NA,body_size_max,NA,115,mm
3370,Alitta succinea,species,Alitta succinea,species,target,Pettibone 1963,NEMESIS,NA,NA,NA,NA,body_size_max,NA,170,mm
3170,Heteromastus filiformis,species,Heteromastus filiformis,species,target,"Hutchings and Rainer (1982). The pygidium has a long, pointed terminal process. Specimens from the UK reach about 100 mm and have 140 segments (Hayward and Ryland 1990); specimens from the North Sea are about 180 mm with 150 segments; and specimens from the US East Coast are about 40 mm with 230 segments (Hutchings and Rainier 1982). Some of this size variation could be due to effects of preservation.",NEMESIS,NA,NA,NA,NA,body_size_max,NA,180,mm
2810,Sparganophilus tamesis,species,Sparganophilus tamesis,species,target,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",worms,NA,NA,NA,NA,body_size_max,NA,200,mm
2490,Branchiura sowerbyi,species,Branchiura sowerbyi,species,target,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",worms,NA,NA,NA,NA,body_size_max,NA,270,mm
3330,Hediste limnicola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4050,Candona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4090,Cyprideis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4030,Isocypris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6570,Physa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1230,Dorylaimus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1270,Actinolaiminae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1290,Mermithidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1090,Turbellaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
