aphia_id,organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,lit_taxon_type_ord,database,citation,life_stage,trait_group,trait_value,trait_unit,quality_status
1037349,2630,Quistadrilus multisetosus,Species,Quistadrilus multisetosus,species,target,1,worms,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",adult,body_size_max,35,mm,unreviewed
1040573,2470,Bothrioneurum vejdovskyanum,Species,Bothrioneurum vejdovskyanum,species,target,1,worms,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",adult,body_size_max,35,mm,unreviewed
1040573,2470,Bothrioneurum vejdovskyanum,Species,Bothrioneurum vejdovskyanum,species,target,1,worms,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. ",adult,body_size_max,35,mm,unreviewed
1040644,2410,Aulodrilus limnobius,Species,Aulodrilus limnobius,species,target,1,worms,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",adult,body_size_max,15,mm,unreviewed
1040644,2410,Aulodrilus limnobius,Species,Aulodrilus limnobius,species,target,1,worms,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. ",adult,body_size_max,15,mm,unreviewed
1040644,2410,Aulodrilus limnobius,Species,Aulodrilus limnobius,species,target,1,worms,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",adult,body_size_max,10,mm,unreviewed
1040647,2430,Aulodrilus pigueti,Species,Aulodrilus pigueti,species,target,1,worms,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. ",adult,body_size_max,12,mm,unreviewed
1040647,2430,Aulodrilus pigueti,Species,Aulodrilus pigueti,species,target,1,worms,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",adult,body_size_max,28,mm,unreviewed
1040661,2610,Psammoryctides californianus,Species,Psammoryctides californianus,species,target,1,worms,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",adult,body_size_max,75,mm,unreviewed
1040676,2510,Ilyodrilus frantzi,Species,Ilyodrilus frantzi,species,target,1,worms,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",adult,body_size_max,20,mm,unreviewed
1040676,2510,Ilyodrilus frantzi,Species,Ilyodrilus frantzi,species,target,1,worms,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. ",adult,body_size_max,20,mm,unreviewed
1040874,2840,Altmanella freidris,Species,Altmanella freidris,species,target,1,worms,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",adult,body_size_max,12,mm,unreviewed
1040959,2650,Embolocephalus nikolskyi,Species,Embolocephalus nikolskyi,species,target,1,worms,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. ",adult,body_size_max,50,mm,unreviewed
1040959,2650,Embolocephalus nikolskyi,Species,Embolocephalus nikolskyi,species,target,1,worms,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",adult,body_size_max,40,mm,unreviewed
1041002,2730,Varichaetadrilus angustipenis,Species,Varichaetadrilus angustipenis,species,target,1,worms,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",adult,body_size_max,15,mm,unreviewed
