target_aphia_id,target_taxon_name,target_taxon_level,lit_aphia_id,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,trait_group,trait_value,trait_unit,Gender
104108,Acartia_UnID,Genus,346034,Acartia (Acartiura) floridana,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,0.85,mm,male
104108,Acartia_UnID,Genus,346034,Acartia (Acartiura) floridana,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,0.94,mm,female
104108,Acartia_UnID,Genus,346027,Acartia (Acartia) forcipata,Species,species within genus,"Giesbrecht, W. & O. Schmeil. (1898). Copepoda I. Gymnoplea. Das Tierreich. Eine Zusammenstellung und Kennzeichnung der rezenten Tierformen, Berlin 6:i-xvi, 1-169, figs. 1-31.",maximum adult body length,2.35,mm,female
104108,Acartia_UnID,Genus,346027,Acartia (Acartia) forcipata,Species,species within genus,"Breemen, P.J. van. (1908). VIII. Copepoden. In: Nordisches Plankton, Zoologischer Teil, Vierter Band, Verlag von Lipsius & Tischer, Kiel. 4(8):1-264, figs. 1-251.",maximum adult body length,2.35,mm,female
104108,Acartia_UnID,Genus,345933,Acartia (Acanthacartia) fossae,Species,species within genus,"Vives, F. &  A.A. Shmeleva. (2007). Fauna Iberica. Vol. 29. Crustacea, Copepodos marinos I. Calanoida. Museo Nacional de Ciencias Naturales, Consejo Superior de Investigaciones Cientificas, Madrid 1152 pp.",maximum adult body length,1.3,mm,male
104108,Acartia_UnID,Genus,345933,Acartia (Acanthacartia) fossae,Species,species within genus,"Bradford-Grieve, J.M. (1999). To replace Fiches d'Identification du Zooplancton No. 12. Copepoda. Sub-order: Calanoida, Family: Acartiidae, Genera: Acartia, Paracartia, Pteriacartia. ICES (International Council for the Exploration of the Sea) Identification Leaflets for Plankton 181:1-19.",maximum adult body length,1.4,mm,female
104108,Acartia_UnID,Genus,345933,Acartia (Acanthacartia) fossae,Species,species within genus,"Conway, D.V.P., R.G. White, J. Hugues-Dit-Ciles, C.P. Gallienne & D.B. Robins. (2003). Guide to the coastal and surface zooplankton of the south-western Indian Ocean. Marine Biological Association of the United Kingdom Occasional Publication. UK-DEFRA Darwin Initiative Project 162/09/004 Zooplankton of the Mascarene Plateau. 15:1-354.",maximum adult body length,1.3,mm,male
104108,Acartia_UnID,Genus,345933,Acartia (Acanthacartia) fossae,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.3,mm,male
104108,Acartia_UnID,Genus,345933,Acartia (Acanthacartia) fossae,Species,species within genus,"Conway, D.V.P., R.G. White, J. Hugues-Dit-Ciles, C.P. Gallienne & D.B. Robins. (2003). Guide to the coastal and surface zooplankton of the south-western Indian Ocean. Marine Biological Association of the United Kingdom Occasional Publication. UK-DEFRA Darwin Initiative Project 162/09/004 Zooplankton of the Mascarene Plateau. 15:1-354.",maximum adult body length,1.4,mm,female
104108,Acartia_UnID,Genus,345933,Acartia (Acanthacartia) fossae,Species,species within genus,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.4,mm,female
