organism_code,aphia_id,taxon,source,aphia_id_syn,synonym,status,rank,kingdom,phylum,class,order,family,genus
2720,137577,Tubificoides heterochaetus,worms,176477,Peloscolex heterochaetus,unaccepted,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Peloscolex
2730,1041002,Varichaetadrilus angustipenis,worms,1042124,Limnodrilus angustipenis,unaccepted,Species,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus
3370,234850,Alitta succinea,worms,1327431,Neanthes saltoni,unaccepted,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Neanthes
3370,234850,Alitta succinea,worms,130391,Neanthes succinea,unaccepted,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Neanthes
3370,234850,Alitta succinea,worms,339338,Nereis (Neanthes) australis,unaccepted,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis
3370,234850,Alitta succinea,worms,339248,Nereis (Neanthes) perrieri,unaccepted,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis
3370,234850,Alitta succinea,worms,339345,Nereis (Neanthes) saltoni,unaccepted,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis
3370,234850,Alitta succinea,worms,155187,Nereis (Neanthes) succinea,unaccepted,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis
3370,234850,Alitta succinea,worms,339263,Nereis belawanensis,unaccepted,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis
3370,234850,Alitta succinea,worms,339294,Nereis glandulosa,unaccepted,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis
3370,234850,Alitta succinea,worms,339377,Nereis limbata,unaccepted,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis
3370,234850,Alitta succinea,worms,339323,Nereis reibischi,unaccepted,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis
3370,234850,Alitta succinea,worms,339379,Nereis succinea,unaccepted,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis
3330,333585,Hediste limnicola,worms,329459,Neanthes lighti,unaccepted,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Neanthes
3330,333585,Hediste limnicola,worms,339306,Nereis limnicola,unaccepted,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis
3430,155021,Manayunkia speciosa,worms,338852,Manayunkia eriensis,unaccepted,Species,Animalia,Annelida,Polychaeta,Sabellida,Fabriciidae,Manayunkia
3050,131114,Boccardiella ligerica,worms,155466,Boccardia ligerica,unaccepted,Species,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Boccardia
3050,131114,Boccardiella ligerica,worms,131112,Boccardia redeki,unaccepted,Species,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Boccardia
