year,area,american_shad,chinook_salmon,delta_smelt,longfin_smelt,northern_anchovy,pacific_herring,splittail,striped_bass,threadfin_shad
2003,17,382,0,0,0,0,0,0,11,1225
2004,12,29,0,0,57,139,3,3,10,3
2004,13,59,1,12,33,3,5,0,25,12
2004,14,23,0,4,20,0,0,1,12,7
2004,15,390,10,58,7,0,0,0,27,106
2004,16,340,4,0,1,0,1,0,10,457
2004,17,42,5,0,0,0,0,0,3,648
2005,12,70,0,0,20,7,6,0,17,13
2005,13,185,0,8,15,1,11,0,27,38
2005,14,44,0,3,2,1,0,0,26,88
2005,15,409,1,12,16,0,0,0,16,64
2005,16,140,1,3,0,0,0,0,2,55
2005,17,52,0,0,0,0,0,0,4,2471
2006,12,74,0,1,97,8,7,0,35,13
2006,13,156,0,15,122,0,4,0,83,206
2006,14,47,0,5,14,0,0,4,92,86
2006,15,1175,0,13,31,0,0,0,23,826
2006,16,284,0,7,0,0,0,0,2,179
2006,17,29,0,0,0,0,0,0,3,838
2007,12,67,0,4,1,83,6,0,23,3
2007,13,55,0,2,2,3,5,0,28,26
2007,14,24,0,8,1,1,0,1,23,16
2007,15,376,0,12,5,0,0,0,14,127
2007,16,12,0,0,0,0,0,0,0,55
2007,17,6,0,0,0,0,0,0,0,2938
2008,12,46,1,0,21,46,38,0,41,6
2008,13,76,0,1,46,35,47,0,33,13
2008,14,20,0,1,3,4,1,0,41,11
2008,15,23,0,20,17,1,2,0,31,68
2008,16,20,0,0,0,0,0,0,21,24
2008,17,5,0,0,0,0,0,0,6,320
2009,12,81,1,0,18,36,6,0,21,1
2009,13,142,0,11,16,33,0,0,19,1
2009,14,43,0,2,4,6,0,1,9,2
2009,15,114,0,6,10,0,0,0,18,26
2009,16,16,0,0,4,0,0,0,3,8
2009,17,15,0,0,0,0,0,0,0,2
2010,12,41,0,0,32,512,34,0,7,0
2010,13,107,0,12,18,73,41,0,10,13
2010,14,42,0,4,6,16,0,0,7,6
2010,15,110,0,13,1,0,0,0,4,26
2010,16,7,0,0,0,0,0,0,1,41
2010,17,0,0,0,0,0,0,0,7,11
2011,12,195,0,17,64,11,0,3,57,4
2011,13,159,1,103,158,1,1,1,63,43
2011,14,62,0,18,15,0,0,2,61,13
2011,15,136,0,187,58,0,0,0,28,38
2011,16,41,0,5,7,0,0,0,12,30
2011,17,20,0,0,0,0,0,0,2,65
2012,12,25,0,0,14,27,11,0,53,0
2012,13,83,6,15,7,14,4,0,26,1
2012,14,23,1,1,1,26,1,0,4,1
2012,15,128,6,26,7,0,0,1,13,16
2012,16,22,1,0,0,0,0,0,8,7
2012,17,3,0,0,0,0,0,0,2,8
2013,12,14,0,0,17,13,3,0,6,0
2013,13,88,1,8,24,30,1,0,24,16
2013,14,14,1,1,1,1,1,1,2,6
2013,15,77,0,8,17,0,0,0,25,88
2013,16,19,0,1,0,0,0,0,11,112
2013,17,12,0,0,0,0,0,0,0,3
2014,12,64,0,0,1,50,1,0,17,3
2014,13,28,1,1,3,19,1,0,5,10
2014,14,47,1,1,1,11,1,1,5,1
2014,15,71,64,7,2,0,0,0,39,179
2014,16,12,0,0,0,0,0,0,3,54
2014,17,12,2,0,0,0,0,0,13,26
2015,12,6,0,0,0,456,4,0,16,13
2015,13,13,0,0,1,139,0,0,11,32
2015,14,5,1,1,1,87,0,0,7,4
2015,15,23,0,6,0,0,0,0,12,641
2015,16,9,0,0,0,0,0,0,3,61
2015,17,0,0,0,0,0,0,0,2,28
2016,12,10,0,0,0,239,0,0,26,3
2016,13,75,1,0,2,79,0,0,32,39
2016,14,14,0,0,0,56,0,0,11,76
2016,15,132,1,8,0,7,0,0,13,240
2016,16,34,0,0,0,0,0,0,18,152
2016,17,2,0,0,0,0,0,0,2,5
2017,12,272,1,0,18,80,0,0,95,22
2017,13,1002,0,1,6,40,0,0,135,54
2017,14,218,0,0,11,9,0,1,82,49
2017,15,534,0,1,2,0,0,0,47,89
2017,16,177,0,0,5,0,0,0,23,47
2017,17,12,0,0,0,0,0,0,5,0
2018,12,102,0,0,8,335,0,0,18,7
2018,13,187,0,0,7,136,3,0,8,4
2018,14,31,0,0,2,29,0,0,4,4
2018,15,181,1,0,4,1,0,0,12,68
2018,16,103,0,0,0,2,0,0,2,49
2018,17,32,0,0,0,0,0,0,4,40
2019,12,259,0,0,3,134,6,0,53,1
2019,13,468,1,0,13,2,0,0,72,34
2019,14,157,0,0,1,0,0,0,38,19
2019,15,323,0,0,5,0,0,0,19,227
2019,16,154,0,0,1,0,0,0,10,16
2019,17,42,0,0,0,0,0,0,10,17
2020,12,132,0,0,6,55,1,0,11,7
2020,13,277,0,0,1,31,1,0,18,24
2020,14,98,0,0,0,26,0,0,13,11
2020,15,324,0,0,1,0,0,0,25,559
2020,16,35,0,0,0,0,0,0,1,27
2020,17,6,0,0,0,0,0,0,9,0
2021,12,28,0,0,7,623,1,0,3,0
2021,13,37,0,0,19,141,0,0,8,21
2021,14,11,0,0,9,39,0,0,8,3
2021,15,70,1,0,5,2,0,0,27,90
2021,16,51,0,0,1,0,0,0,19,106
2021,17,5,0,0,0,0,0,0,4,0
2022,12,83,0,0,28,196,0,0,16,0
2022,13,108,1,0,32,72,2,0,16,13
2022,14,30,0,0,10,90,0,0,5,6
2022,15,54,0,0,5,23,0,0,15,83
2022,16,23,0,0,2,5,0,0,3,118
2022,17,6,0,0,0,0,0,0,23,18
