year,area,american_shad,chinook_salmon,delta_smelt,longfin_smelt,northern_anchovy,pacific_herring,splittail,striped_bass_age_0,striped_bass_age_1,striped_bass_age_2,threadfin_shad
1993,14,145,1,43,34,12,0,1,74,9,1,43
1993,15,815,6,523,186,0,0,4,337,2,1,949
1993,16,1366,0,44,7,0,0,0,203,3,1,790
1993,17,1128,2,0,0,0,0,0,115,2,5,4683
1994,12,111,0,4,99,207,0,0,336,3,1,77
1994,13,198,0,20,44,47,0,0,97,4,10,85
1994,14,36,0,5,15,6,0,1,33,1,5,44
1994,15,175,0,70,30,0,0,2,286,1,4,290
1994,16,239,4,2,2,0,0,0,70,1,0,167
1994,17,129,0,0,0,0,0,0,92,0,0,1152
1995,12,206,1,94,892,6,11,18,70,34,0,13
1995,13,375,2,630,1048,0,0,21,112,37,1,176
1995,14,90,1,72,301,0,0,15,47,9,0,52
1995,15,1439,0,80,282,0,0,1,85,8,0,152
1995,16,3017,2,2,33,0,0,0,24,3,1,452
1995,17,563,0,0,0,0,0,0,34,6,0,2458
1996,12,288,0,1,176,176,4,3,99,13,11,31
1996,13,221,1,50,71,0,2,2,55,5,8,35
1996,14,134,1,41,20,0,0,9,31,2,1,31
1996,15,1027,0,24,24,0,0,4,50,2,1,280
1996,16,963,1,3,1,0,0,0,30,1,0,152
1996,17,162,2,0,0,0,0,0,3,0,2,4122
1997,12,129,0,6,74,105,3,0,45,32,1,36
1997,13,359,4,67,52,34,1,1,42,11,1,131
1997,14,134,1,56,12,7,0,0,11,9,0,103
1997,15,402,2,162,146,0,0,0,131,6,0,767
1997,16,651,1,3,2,0,0,0,236,9,0,1681
1997,17,246,2,0,0,0,0,0,55,3,0,12168
1998,12,151,0,206,2976,22,0,66,708,130,8,111
1998,13,396,1,122,1731,2,0,25,173,276,3,180
1998,14,65,2,52,131,0,0,79,109,31,4,451
1998,15,611,6,6,138,0,0,2,52,1,1,196
1998,16,1147,0,1,2,0,0,0,33,5,0,1291
1998,17,1056,0,0,0,0,0,0,9,6,0,3370
1999,12,27,4,22,1099,34,1,8,186,56,18,4
1999,13,24,16,146,1188,22,2,11,97,23,11,42
1999,14,29,2,167,72,4,1,19,75,10,0,26
1999,15,170,10,401,29,0,0,1,43,7,0,245
1999,16,287,13,118,7,0,1,0,40,0,0,691
1999,17,114,0,0,0,0,0,0,49,0,0,6438
2000,12,20,0,6,1168,53,0,0,52,13,8,7
2000,13,51,2,431,771,0,0,5,21,3,1,36
2000,14,27,1,48,61,3,1,2,44,6,3,29
2000,15,293,2,221,354,0,0,1,94,5,1,30
