Citation_title,Citation_complete
A new species of Austrotinodes (Trichoptera: Ecnomidae) from Texas,"Bowles, D. E. 1995. A new species of Austrotinodes (Trichoptera: Ecnomidae) from Texas. Journal of the New York Entomological Society 103(2):155-161."
A new species of Baetis from Oregon (Ephemeroptera: Baetidae),"Edmunds, G. F., Jr. 1957. A new species of Baetis from Oregon (Ephemeroptera: Baetidae). Journal of the Kansas Entomological Society 30(2):57-58."
A new species of Brachycentrus from Georgia with two unusual larval characters,"Wallace, J. B. 1971. A new species of Brachycentrus from Georgia with two unusual larval characters (Trichoptera: Brachycentridae). Entomological News 82:313-321."
A new species of Brachypogon (Diptera: Ceratopogonidae),"Downes, J. A. 1976. A new species of Brachypogon (Diptera: Ceratopogonidae), The first record of the genus in Canada. Canadien Entomologist 108:1145-1151."
"A new species of Caenis (Ephemeroptera: Caenidae) from Montana, U.S.A.","Roemhild, G. 1984. A new species of Caenis (Ephemeroptera: Caenidae) from Montana, U.S.A. Aquatic Insects 6(1):7-11."
A new species of Callicorixa from northwestern North America,"Jansson, A. 1978. A new species of Callicorixa from northwestern North America. The Pan-Pacific Entomologist 54:261-266."
A new species of Capnia (Plecoptera: Capniidae) from Arizona,"Baumann, R. W., and A. R. Gaufin. 1969. A new species of Capnia (Plecoptera: Capniidae) from Arizona. Entomological News 80(3):75-78."
A new species of Capnia from Utah (Plecoptera),"Gaufin, A. R. 1964. A new species of Capnia from Utah (Plecoptera). The Wasmann Journal of Biology 22(2):307-309."
"A new species of Ceraclea from the Ozark Mountains of Missouri, U.S.A.","Moulton, S. R., II, and K. W. Stewart. 1992. A new species of Ceraclea (Trichoptera: Leptoceridae) from the Ozark Mountains of Missouri, U.S.A. Proceedings of the Entomological Society of Washington 94(3):361-365."
A new species of Diploperla (Plecoptera: Perlodidae) from Virginia,"Kondratieff, B. C., and J. R. Voshell. 1979. A new species of Diploperla (Plecoptera: Perlodidae) from Virginia. Annals of the Entomological Society of America 72(4):451-453."
A new species of Ephemerella (Serratella) from California.,"Allen, R. K., and D. L. Collins. 1968. A new species of Ephemerella (Serratella) from California. The Pan-Pacific Entomologist 44:122-124."
A new species of Ephemerella from Georgia (Ephemeroptera: Epherellidae).,"Allen, R. K., and J. George F. Edmunds. 1958. A new species of Ephemerella from Georgia (Ephemeroptera: Epherellidae). Journal of Kansas Entomological Society 31(3):222-224."
A new species of Ephemerella from Oregon,"Allen, R. K. 1959. A new species of Ephemerella from Oregon (Ephemeroptera: Ephemerellidae). Journal of the Kansas Entomological Society 32(2):59-60."
A new species of Ephemerella from Western North America,"Jensen, S. L., and G. F. J. Edmunds. 1966. A new species of Ephemerella from Western North America (Ephemeroptera: Ephemerellidae). Journal of the Kansas Entomological Society 39:576-579."
