Citation_title,Citation_complete
"Carnivory by an aquatic detritivore, Clistoronia magnifica (Trichoptera: Limnephilidae).","Anderson, N. H. 1976. Carnivory by an aquatic detritivore, Clistoronia magnifica (Trichoptera: Limnephilidae). Ecology 57(5):1081-1085."
Centroptilum ozarkensum (Ephemeroptera: Baetidae) a new long-clawed Baetid from Missouri,"Wiersema, N. A., and S. K. Burian. 2000. Centroptilum ozarkensum (Ephemeroptera: Baetidae) a new long-clawed Baetid from Missouri. Journal of the Kansas Entomological Society 72(2):177-180."
"Ceraclea enodis, a new species of sponge-feeding caddisfly previously misidentified","Whitlock, H. N., and J. C. Morse. 1994. Ceraclea enodis, a new species of spong-feeding caddisfly (Trichoptera: Leptoceridae) previously misidentified. Journal of the North American Benthological Society 13(4):580-591."
Cercobrachys cree: a new species (Ephemeroptera: Caenidae) from Western North America,"Sun, L., J. M. Webb, and W. P. McCafferty. 2002. Cercobrachys cree: a new species (Ephemeroptera: Caenidae) from Western North America. Entomological News 113(2):80-86."
"Chironimid midges of California II. Tanypodinae, Podonominae, and Diamesinae","Sublette, J. E. 1964. Chironimid midges of California II. Tanypodinae, Podonominae, and Diamesinae. Proceedings of the United States National Museum 115:85-135."
"Chironomidae (Diptera) of Char Lake , Cornwallis Island, N.W.T.","Oliver, D. R. 1976. Chironomidae (Diptera) of Char Lake , Cornwallis Island, N.W.T. with descriptions of two new species. The Canadian Entomologist 108:1053-1064."
"Chironomidae of the Southeastern United States: A Checklist of Species and Notes on Biology,Distribu","Hudson, P. L., D. R. Lenat, B. A. Caldwell, and D. Smith. 1990. Chironomidae of the Southeastern United States: A Checklist of Species and Notes on Biology, Distribution, and Habitat. USDI Fish and Wildlife Service, Washington, D.C. 46 pps."
"Chironomids and other invertebrates from North Boulder Creek, Colorado.","Saether, O. A. 1965. Chironomids and other invertebrates from North Boulder Creek, Colorado. Limnology Laboratory, University of Colorado 49:58-114."
Cladistic analysis of the Ochrotrichia shawnee Group,"Frazer, K. S., and S. C. Harris. 1991. Cladistic analysis of the Ochrotrichia shawnee Group (Trichoptera: Hydroptilidae) and description of a new member from the interior highlands of northwestern Arkansas. Journal of the Kansas Entomological Society 64(4"
Coexistence of perlid stoneflies (Plecoptera): predictions from multivariate morphometrics.,"Sheldon, A. L. 1979. Coexistence of perlid stoneflies (Plecoptera): predictions from multivariate morphometrics. Hydrobiologia 71:99-105."
Colonization and processing of leaf litter by macroinvertebrate shredders,"Griffith, M. B., and S. A. Perry. 1993. Colonization and processing of leaf litter by macroinvertebrate shredders in streams of contrasting pH. Freshwater Biology 30:93-103."
Commentary on Drunella tuberculata and Procloeon pennulatum in North Carolina,"McCafferty, W. P. 1993. Commentary on Drunella tuberculata and Procloeon pennulatum (Ephemeroptera: Ephemerellidae; Baetidae) in North Carolina. Entomological News 104(5):235-239."
"Community structure and diversity of caddisfly adults from the Salt River, Kentucky.","Resh, V. H., K. H. Haag, and S. E. Neff. 1975. Community structure and diversity of caddisfly adults from the Salt River, Kentucky. Environmental Entomology 4:241-253."
Comparative biology of the common Utah Hydropsychidae,"Alstad, D. N. 1980. Comparative biology of the common Utah Hydropsychidae (Trichoptera). The American Midland Naturalist 103(1):167-174."
Comparative life histories of the Hydropsychidae (Trichoptera) in a Montana lake outlet,"Oswood, M. W. 1976. Comparative life histories of the Hydropsychidae (Trichoptera) in a Montana lake outlet. The American Midland Naturalist 96(2):493-497."
Comparative mouthpart morphology and evolution of the carnivorous Heptageniidae (Ephemeroptera),"McCafferty, W. P., and A. V. Provonsha. 1986. Comparative mouthpart morphology and evolution of the carnivorous Heptageniidae (Ephemeroptera). Aquatic Insects 8(2):83-89."
Comparison of old and new world Acanthametropus (Ephemeroptera: Acanthametropodidae)  and other psam,"McCafferty, W. P. 1991. Comparison of old and new world Acanthametropus (Ephemeroptera: Acanthametropodidae) and other psammophilous mayflies. Entomological News 102(5):205-214."
"Confirmation of the pygmy snowfly, Allocapnia pygmaea (Burmeister) (Plecoptera: Capniidae)","Kondratieff, B. C., and R. W. Baumann. 2003. Confirmation of the pygmy snowfly, Allocapnia pygmaea (Burmeister) (Plecoptera: Capniidae), from North Dakota, United States. Entomological News 114(5):289-290."
Confirmed records of Leuctra variabilis and Alloperla usa in Maryland,"Nelson, C. H., R. Hamilton, and R. M. Duffield. 2002. Confirmed records of Leuctra variabilis and Alloperla usa in Maryland (Plecoptera: Leuctridae, Chloroperlidae), with additional comments on the former species. Entomological News 113(2):137-139."
Contribution to the biology of the Haliplidae (Coleoptera).,"Hickman, J. R. (1931). ""Contribution to the biology of the Haliplidae (Coleoptera)."" Annals Entomological Society of America 24: 129-142."
Contribution to the taxonomy of Callibaetis in Southwestern North America and middle America,"Lugo-Ortiz, C. R., and W. P. McCafferty. 1996. Contribution to the taxonomy of Callibaetis (Ephemeroptera: Baetidae) in Southwestern North America and middle America. Aquatic Insects 18(1):1-9."
Contributions to the morphology and descriptive biology of Caurinella idahoensis,"Jacobus, L. M., and W. P. McCafferty. 2004. Contributions to the morphology and descriptive biology of Caurinella idahoensis (Ephemeroptera: Ephemerellidae). Western North American Naturalist 64(1):101-108."
Contributions to the systematics of Paragnetina (Plecoptera: Perlidae),"Stark, B. P., and S. W. Szczytko. 1981. Contributions to the systematics of Paragnetina (Plecoptera: Perlidae). Journal of the Kansas Entomological Society 54(3):625-648."
Contributions to the systematics of the caddis-fly family Limnephilidae,"Wiggins, G. B. 1974. Contributions to the systematics of the caddis-fly family Limnephilidae (Trichoptera). III: the genus Goereilla. Proceedings of the 1st International Symposium on Trichoptera:7-19."
Contributions to the systematics of the caddisfly family Limnephilidae (Trichoptera) II,"Wiggins, G. B. 1975. Contributions to the systematics of the caddisfly family Limnephilidae (Trichoptera) II. The Canadian Entomologist 107:325-336."
Contributions to the taxonomy of the Panamerican genus Fallceon,"Lugo-Ortiz, C. R., W. P. McCafferty, and R. D. Waltz. 1994. Contributions to the taxonomy of the Panamerican genus Fallceon (Ephemeroptera: Baetidae). Journal of the New York Entomological Society 102(4):460-475."
Critical commentary on the genus Siphlonisca (Ephemeroptera: Siphlonuridae),"McCafferty, W. P., and G. F. Edmunds, Jr. in preparation. Critical commentary on the genus Siphlonisca (Ephemeroptera: Siphlonuridae)."
Damselflies of North America,"Westfall, M. J. J., and M. L. May. 1996. Damselflies of North America. Scientific Publishers, Inc., Gainesville, FL."
Depth Selection in Two Species of Buenoa (Hemiptera: Notonectidae).,"Gittelman, S. H., and G. Bergtrom. 1976. Depth Selection in Two Species of Buenoa (Hemiptera: Notonectidae). Annals Entomological Society of America 70(4):469-476."
Description and ecology of three Stenonema mayfly nymphs,"Lewis, P. A. 1974. Description and ecology of three Stenonema mayfly nymphs. Proceedings of the First International Conference on Ephemeroptera:57-72."
Description of a new species of Alloperla (Plecoptera: Chloroperlidae) from Virginia,"Nelson, C. H., and B. C. Kondratieff. 1980. Description of a new species of Alloperla (Plecoptera: Chloroperlidae) from Virginia. Journal of the Kansas Entomological Society 53(4):801-804."
Description of a new species of Stenonema (Ephemeroptera: Heptageniidae) from Virginia.,"Carle, F. L. 1977. Description of a new species of Stenonema (Ephemeroptera: Heptageniidae) from Virginia. Annals Entomological Society of America 70(5):711-714."
Description of adults and ecology of Camelobaetidius waltzi,"Klubertanz, T. H., and D. M. Jones. draft. Description of adults and ecology of Camelobaetidius waltzi (Ephemeroptera: Baetidae)."
Description of adults of Baetis magnus,"Durfee, R., and B. C. Kondratieff. 1993. Description of adults of Baetis magnus (Ephemeroptera: Baetidae). Entomological News 104(5):227-232."
Description of adults of Baetis notos,"Durfee, R., and B. C. Kondratieff. 1995. Description of adults of Baetis notos (Ephemeroptera: Baetidae). Entomological News 106(2):71-74."
Description of the adult of Ephemerella berneri Allen and Edmunds with biological notes,"Kondratieff, B. C., J. W. S. I. Foster, and J. R. J. Voshell. 1981. Description of the adult of Ephemerella berneri Allen and Edmunds (Ephemeroptera: Ephemerellidae) with biological notes. Proceedings of the Entomological Society of Washington 83(2):300-3"
Description of the imagines of Ephemerella verruca Allen and Edmunds,"Harper, F., and C. P. Hawkins. 1984. Description of the imagines of Ephemerella verruca Allen and Edmunds (Ephemeroptera: Ephemerellidae). Aquatic Insects 6(1):13-16."
Description of the larva of Atractelmis (Coleoptera: Elmidae) and new information on the morphology,"Shepard, W. D., and C. B. Barr. 1991. Description of the larva of Atractelmis (Coleoptera: Elmidae) and new information on the morphology, distribution, and habitat of Atractelmis wawona Chandler. Pan-Pacific Entomogist 67(3):195-199."
Description of two new species of Polycentropus from Alabama,"Hamilton, S. W., S. C. Harris, and P. K. Lago. 1990. Description of two new species of Polycentropus from Alabama with a checklist of the Polycentropus confusus species-group (Trichoptera: Polycentropodidae). Journal of the New York Entomological Society"
Descriptions and notes of new and little known species of Trichoptera.,"Denning, D. G. 1941. Descriptions and notes of new and little known species of Trichoptera. Annals Entomological Society of America 34:195-203."
Descriptions and theoretical considerations of mate finding and other adult behaviors,"Alexander, K. D., and K. W. Stewart. 1996. Descriptions and theoretical considerations of mate finding and other adult behaviors in a Colorado Population of Claassenia sabulosa (Plecoptera: Perlidae). Entomological society of America 89(2):290-295."
Descriptions of a new species and three incompletely known species of Western Nearctic Isoperla,"Bottorff, R. L., S. W. Szczytko, and A. W. Knight. 1990. Descriptions of a new species and three incompletely known species of Western Nearctic Isoperla (Plecoptera: Perlodidae). Proceedings of the Entomological Society of Washington 92(2):286-303."
"Descriptions of Caliperla Banks, Rickera Jewett, and two new Western Nearctic Isoperla species","Szczytko, S. W., and K. W. Stewart. 1984. Descriptions of Caliperla Banks, Rickera Jewett, and two new Western Nearctic Isoperla species (Plecoptera: Perlodidae). Annals of the Entomological Society of America 77:251-263."
Descriptions of Eastern North American species of Baetine mayflies,"Ide, F. P. 1937. Descriptions of Eastern North American species of Baetine mayflies with particular reference to the nymphal stages. The Canadian Entomologist 69(11):219-243."
Descriptions of eight new species of Trichoptera.,"Denning, D. G. 1948. Descriptions of eight new species of Trichoptera. Bulletin of the Brooklyn Entomogical Society 63:119-129."
Descriptions of females of four species of Cheumatopsyche from the southern United States,"Gordon, A. E. 1972. Descriptions of females of four species of Cheumatopsyche from the southern United States (Hydropsychidae, Trichoptera). Proceedings of the Biological Society of Washington 85(22):279-286."
Descriptions of four new Rhyacophila (Trichoptera: Rhyacophilidae),"Denning, D. G., and F. Schmid. 1971. Descriptions of four new Rhyacophila (Trichoptera: Rhyacophilidae). The Canadian Entomologist 103:1553-1556."
Descriptions of larval Heptagenia from the Rocky M,"Bednarik, A. F. and G. F. Edmunds, Jr. 1980. Descriptions of larval Heptagenia from the Rocky Mountain Region (Ephemeroptera: Heptageniidae). Pan-Pacific Entomologist 56(1): 51-62."
Descriptions of New North American Trichoptera.,"Ross, H. H. 1938. Descriptions of New North American Trichoptera. Proceedings of the Entomological Society of Washington 40(5):117-124."
Descriptions of new species of Cheumatopsyche and the presumed female of C. helma Ross from Alabama,"Gordon, A. E., S. C. Harris, and P. K. Lago. 1986. Descriptions of new species of Cheumatopsyche (Trichoptera: Hydropsychidae) and the presumed female of C. helma Ross from Alabama. The Florida Entomologist 69(2):314-318."
Descriptions of new Trichoptera from the United States.,"Denning, D. G. 1942. Descriptions of new Trichoptera from the United States. Canadian Entomologist 74:46-51."
Descriptions of several species of Trichoptera.,"Flint, O. S. 1958. Descriptions of several species of Trichoptera. Bulletin of the Brooklyn Entomogical Society 53(1):21-24."
"Descriptions of the female, nymph, and variation in male character of the stonefly Leuctra szczytkoi","Dewalt, R. E., and B. P. Stark. 1996. Descriptions of the female, nymph, and variation in male characters of the stonefly Leuctra szczytkoi (Plecoptera: Leuctridae). Entomological News 107(2):61-67."
"Descriptions of the female, nymph, egg, and redescription of the male of Amphinemura mockfordi","Nelson, C. H. 1997. Descriptions of the female, nymph, egg, and redescription of the male of Amphinemura mockfordi (Plecoptera: Nemouridae). Entomological News 108(2):107-112."
Descriptions of the females of three Polycentropus species,"Hoffman, K. M., and J. C. Morse. 1990. Descriptions of the females of three Polycentropus species (Trichoptera: Polycentropodidae). Proceedings of the Entomological Society of Washington 92(2):274-281."
"Descriptions, records and systematic notes concerning Western North American stoneflies (Plecoptera)","Frison, T. H. 1942. Descriptions, records and systematic notes concerning Western North American stoneflies (Plecoptera). The Pan-Pacific Entomologist 18(1 + 2):9-16;61-72."
Development rates of eggs of some Canadian stoneflies (Plecoptera) in relation to temperature,"Mutch, R. A., and G. Pritchard. 1986. Development rates of eggs of some Canadian stoneflies (Plecoptera) in relation to temperature. Journal of the North American Benthological Society 5(4):272-277."
Diagnostic atlas of the North American caddisfly adults I. Philopotamidae,"Armitage, B. J. 1983. Diagnostic atlas of the North American caddisfly adults I. Philopotamidae. The Caddis Press."
Diel Feeding Periodicity of two predatory stoneflies (Plecoptera).,"Walde, S. J., and R. W. Davies. 1984. Diel Feeding Periodicity of two predatory stoneflies (Plecoptera). Canadien Journal of Zoology 63:883-887."
Diel Migration and Microhabitat Distribution of a Benthic Stream Assemblage,"Rader, R. B., and J. V. Ward. 1990. Diel Migration and Microhabitat Distribution of a Benthic Stream Assemblage. Canadian Journal of Fisheries and Aquatic Sciences 47:711-718."
"Diel periodicity in the behaviour of the caddisfly, Brachycentrus americanus (Banks).","Gallepp, G. (1974). ""Diel periodicity in the behaviour of the caddisfly, Brachycentrus americanus (Banks)."" Freshwater Biology 4: 193-204."
Diet and predation by three leaf-associated stoneflies (Plecoptera) in an Arkansas mountain stream.,"Feminella, J. W., and K. W. Stewart. 1986. Diet and predation by three leaf-associated stoneflies (Plecoptera) in an Arkansas mountain stream. Freshwater Biology 16:521-538."
Differences in the occurrence of nymphs of two species of burrowing mayflies in fish stomachs,"Leonard, J. W. 1947. Differences in the occurrence of nymphs of two species of burrowing mayflies in fish stomachs. Annals of the Entomological Society of America 40(4):688-691."
Diptera larvae (Empididae and Chironomidae) in Trichoptera pupal cases (Glossosomatidae and Limnephi,"Vinikour, W. S. and R. V. Anderson (1981). ""Diptera larvae (Empididae and Chironomidae) in Trichoptera pupal cases (Glossosomatidae and Limnephilidae)."" Entomological News 92(2): 69-74."
Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,"Elgmork, K., and O. R. Saether. 1970. Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains. University of Colorado Series in Biology 31:1-55."
Distribution of Quebec stoneflies (Plecoptera),"Ricker, W. E., R. Malouin, P. P. Harper, and H. H. Ross. 1968. Distribution of Quebec stoneflies (Plecoptera). Le Naturaliste Canadien 95:1085-1123."
Distribution of some montana caddisflies (Trichoptera).,"Newell, R. L. and D. S. Potter (1973). ""Distribution of some montana caddisflies (Trichoptera)."" Proceeding of the Montana Academy of Sciences 33: 12-21."
Distribution of stoneflies (Plecoptera) in Oklahoma,"Stark, B. P., and K. W. Stewart. 1973. Distribution of stoneflies (Plecoptera) in Oklahoma. Journal of the Kansas Entomological Society 46(4):563-577."
Distribution of the family Hydropsychidae (Trichoptera) in the Savannah River basin of North Carolin,"Gordon, A. E. and J. B. Wallace (1975). ""Distribution of the family Hydropsychidae (Trichoptera) in the Savannah River basin of North Carolina, South Carolina and Georgia."" Hydrobiologia 46(4): 405-423."
Distribution of the family Perlidae in West Virginia (Plecoptera),"Steele, B. D., and D. C. Tarter. 1977. Distribution of the family Perlidae in West Virginia (Plecoptera). Entomological News 88(1 & 2):18-22."
Distribution of the Stonefly Nymph Paragnetina media,"Feltmate, B. W., R. L. Baker, and P. J. Pointing. 1986. Distribution of the Stonefly Nymph Paragnetina media (Plecoptera: Perlidae): Influence of Prey, Predators, Current Speed, and Substrate Composition. Canadian Journal of Fisheries and Aquatic Sciences"
Distribution of the superfamily Nemouroidea in West Virginia (Insecta: Plecoptera),"Farmer, R. G., and D. C. Tarter. 1976. Distribution of the superfamily Nemouroidea in West Virginia (Insecta: Plecoptera). Entomological News 87(1 & 2):17-24."
Distributions of stoneflies (Plecoptera) in Oklahoma.,"Stark, B. P., and K. W. Stewart. 1973. Distributions of stoneflies (Plecoptera) in Oklahoma. Journal of the Kansas Entomological Society 46(4):563-577."
"Downstream effects of a large, deep-release, high mountain reservoir on lotic zoobenthos.","Ward, J. V., and N. J. Voelz. 1988. Downstream effects of a large, deep-release, high mountain reservoir on lotic zoobenthos. Verh. Internat. Verein. Limnol. 23:1174-1178."
Dragonflies of North America,"Needham, J. G., M. J. J. Westfall, and M. L. May. 2000. Dragonflies of North America, Rev. edition. Scientific Publishers, Inc., Gainesville, FL."
Dragonfly Nymphs of Utah (Odonata: Anisoptera),"Musser, R. 1962. Dragonfly Nymphs of Utah (Odonata: Anisoptera), volume 12. University of Utah, Salt Lake City."
Dragonfly production and prey turnover.,"Benke, A. C. 1976. Dragonfly production and prey turnover. Ecology 57(5):915-927."
Drift of Ephemeroptera and Plecoptera in two Colorado Rivers,"Stewart, K. W., and S. W. Szczytko. 1983. Drift of Ephemeroptera and Plecoptera in two Colorado Rivers. Freshwater Invertebrate Biology 2(3):117-131."
"Dubiraphia harleyi, a new species of riffle beetle from Louisiana (Coleoptera: Dryopoidea: Elmidae)","Barr, C. B. 1984. Dubiraphia harleyi, a new species of riffle beetle from Louisiana (Coleoptera: Dryopoidea: Elmidae). Journal of the Kansas Entomological Society 57(2):336-339."
Ecological association of the mayfly Ephemerella needhami and the green alga Cladophora,"McShaffrey, D., and W. P. McCafferty. 1991. Ecological association of the mayfly Ephemerella needhami (Ephemeroptera: Ephemerellidae) and the green alga Cladophora (Chlorophyta: Caldophoraceae). Journal of Freshwater Ecology 6(4):383-394."
Ecological diversity in Trichoptera,"Mackay, R. J., and G. B. Wiggins. 1979. Ecological diversity in Trichoptera. Annual Review of Entomology 24:185-208."
Ecological life history of Baetisca berneri Tarter and Kirchner from a West Virginia stream,"Morris, W. R., D. L. Chaffee, and D. C. Tarter. 1980. Ecological life history of Baetisca berneri Tarter and Kirchner from a West Virginia stream (Ephemeroptera: Baetiscidae). Psyche 87:39-47."
Ecological life history of Baetisca carolina Traver in Panther Creek,"Pettry, D. K., and D. C. Tarter. 1985. Ecological life history of Baetisca carolina Traver in Panther Creek, Nicholas County, West Virginia (Ephemeroptera: Baetiscidae). Psyche 92(4):355-368."
"Ecological life history, including laboratory respiratory investigation, of the mayfly A. tarteri","Matthews, K. A., and D. C. Tarter. 1989. Ecological life history, including laboratory respiratory investigation, of the mayfly, Ameletus tarteri (Ephemeroptera: Siphloneuridae). Psyche 96(1-2):21-37."
Ecological studies of aquatic insects. 1. Adaptations of mayfly nymphs to swift streams,"Dodds, G. S., and F. L. Hisaw. 1924. Ecological studies of aquatic insects. 1. Adaptations of mayfly nymphs to swift streams. Ecology 5(2):137-149."
Ecological studies on aquatic insects. III.  Adaptations of caddisfly larvae to swift streams.,"Dodds, G. S. and F. L. Hisaw (1925). ""Ecological studies on aquatic insects. III.  Adaptations of caddisfly larvae to swift streams."" Ecology 6(2): 123-137."
Ecology and Classification of North American Freshwater Invertebrates,"Thorp, J. H., and A. P. Covich, editors. 2001. Ecology and Classification of North American Freshwater Invertebrates, 2nd edition. Academic Press, San Diego."
Ecology and Classification of North American Freshwater Invertebrates.,"Thorp, J. H. and A. P. Covich, Eds. (2001). Ecology and Classification of North American Freshwater Invertebrates. San Diego, Academic Press."
"Ecology of Corixidae (Water Boatman) in Lake Poinsett, South Dakota.","Applegate, R. L., and R. W. Kieckhefer. 1977. Ecology of Corixidae (Water Boatman) in Lake Poinsett, South Dakota. The American Midland Naturalist 97(1):198-208."
Ecology of Hexagenia naiads (Insecta-Ephemeridae),"Craven, R. E. and B. E. Brown. 1969. Ecology of Hexagenia naiads (Insecta-Ephemeridae) in an Oklahoma reservoir. The American Midland Naturalist 82 (2): 346-358."
Effect of habitable space on substrate selection by Paragnetina media,"Feltmate, B. W., and P. J. Pointing. 1986. Effect of habitable space on substrate selection by Paragnetina media (Walker)(Plecoptera: Perlidae). Hydrobiologia 131:277-279."
Effect of temperature on the hatching time of Tricorythodes minutus (Ephemeroptera: Tricorythidae),"Newell, R. L., and G. W. Minshall. 1978. Effect of temperature on the hatching time of Tricorythodes minutus (Ephemeroptera: Tricorythidae). Journal of the Kansas Entomological Society 51(3):504-506."
Egg Morphology and Phylogeny in Pteronarcyidae (Plecoptera),"Stark, B. P. 1982. Egg Morphology and Phylogeny in Pteronarcyidae (Plecoptera). Annals of the Entomological Society of America 75(5):519-529."
Eight new species of Trichoptera,"Denning, D. G. 1989. Eight new species of Trichoptera. Pan-Pacific Entomologist 65(2):123-131."
"Embryological studies on the stonefly, Pteronarcys proteus Newman (Plecoptera: Pteronarcidae)","Miller, A. 1938. Embryological studies on the stonefly, Pteronarcys proteus Newman (Plecoptera: Pteronarcidae). Cornell University - Abstracts of Theses:259-261."
"Embryonic development, early instar morphology, and behavior of Tortopus incertus","Tsui, P. T. P., and W. L. Peters. ? Embryonic development, early instar morphology, and behavior of Tortopus incertus (Ephemeroptera: Polymitarcidae). The Florida Entomologist 57(4):349-356."
"Emergence of caddisflies (Trichoptera) and mayflies (Ephemeroptera) from Heming Lake, Manitoba","Flannagan, J. F., and G. H. Lawler. 1972. Emergence of caddisflies (Trichoptera) and mayflies (Ephemeroptera) from Heming Lake, Manitoba. The Canadian Entomologist 104(173-183)."
"Emergence of mayflies (Ephemeroptera) from streams of Erie Co., PA","Grant, P., S. K. Burian, and E. C. Masteller. 1997. Emergence of mayflies (Ephemeroptera) from streams of Erie Co., PA. Journal of the Pennsylvania Academy of Science 70(3):105-112."
"Emergence pattern of stoneflies (Plecoptera) in Otter Creek, Wisconsin.","Narf, R. P., and W. L. Hilsenhoff. 1974. Emergence pattern of stoneflies (Plecoptera) in Otter Creek, Wisconsin. The Great Lakes Entomologist 7(4):117-125."
"Emergence patterns of large stoneflies (Plecoptera: Pteronarcys, Calineuria, Hesperoperla)","Sheldon, A. L. 1999. Emergence patterns of large stoneflies (Plecoptera: Pteronarcys, Calineuria, Hesperoperla) in a Mountain Stream. Great Basin Naturalist 59(2):169-174."
Emergence production and export of aquatic insects from a tallgrass prairie stream,"Gray, L. J. 1989. Emergence production and export of aquatic insects from a tallgrass prairie stream. The Southwestern Naturalist 34(3):313-318."
Emergence trap collections of Trichoptera from an Oregon stream,"Anderson, N. H. and J. L. Wold (1972). ""Emergence trap collections of Trichoptera from an Oregon stream."" Canadian Entomologist 104: 189-201."
Entomology-Notes and descriptions of Nearctic Hydroptilidae (Trichoptera).,"Ross, H. H. (1948). ""Entomology-Notes and descriptions of Nearctic Hydroptilidae (Trichoptera)."" Journal of the Washington Academy of Sciences 38(6): 201-206."
Environmental profile of Drunella (Eatonella) dodd,"Mangum, F.A. and R. W. Winget.  1991.  Environmental profile of Drunella (Eatonella) doddsi (Needham) (Ephemeroptera: Ephemerellidae).  Journal of Freshwater Ecology, Vol. 6, Number 1: 11-22."
Environmental requirements of Ephemeroptera,"Leonard, J. W. 1962. Environmental requirements of Ephemeroptera. Biological Problems in Water Pollution (Third Seminar):110-117."
"Ephemerella apopsis, a new species from Rocky Mountain high","McCafferty, W. P. 1992. Ephemerella apopsis, a new species from Rocky Mountain high (Ephemeroptera: Ephemerellidae). Entomological News 103(4):135-138."
Ephemerella hecuba Eaton; description of various stages,"Shepherd, D. 1929. Ephemerella hecuba Eaton; description of various stages (Ephemerida, Baetidae). The Canadian Entomologist 61:260-264."
Evidence for obligatory parthenogenesis and its possible effect on the emergence period of Cloeon tr,"Gibbs, K. E. 1977. Evidence for obligatory parthenogenesis and its possible effect on the emergence period of Cloeon triangulifer (Ephemeroptera: Baetidae). Canadian Entomologist 109(337-340)."
Excitement along the shores of Lake Erie - Hexagenia - echoes from the past,"Masteller, E. C., and E. C. Obert. 2000. Excitement along the shores of Lake Erie - Hexagenia - echoes from the past. Great Lakes Research Review 5(1):25-36."
Extensions of the known ranges of Northern Trichoptera into the Southern Appalachians,"Etnier, D. A. 1973. Extensions of the known ranges of Northern Trichoptera into the Southern Appalachians. Journal of the Georgia Entomological Society 8(4):272-274."
Factors affecting wing length and emergence in the winter stonefly Capnia nana,"Nebeker, A. V., and A. R. Gaufin. 1967. Factors affecting wing length and emergence in the winter stonefly Capnia nana. Entomological News 28(4):85-92."
Factors limiting the microdistribution of larvae of the caddisflies Pycnopsyche lepida (Hagen),"Cummins, K. W. 1964. Factors limiting the microdistribution of larvae of the caddisflies Pycnopsyche lepida (Hagen) and Pycnopsyche guttifer (Walker) in a Michigan stream (Trichoptera: Limnephilidae). Ecological Monographs 34(3):271-295."
"Feeding and longevity of the winter stonefly, Allocapnia granulata (Claassen)","Finni, G. R. 1976. Feeding and longevity of the winter stonefly, Allocapnia granulata (Claassen) (Plecoptera: Capniidae). Annals Entomological Society of America 68(2):207-208."
Feeding behavior and related functional morphology of the mayfly Ephemerella needhami,"McShaffrey, D., and W. P. McCafferty. 1990. Feeding behavior and related functional morphology of the mayfly Ephemerella needhami (Ephemeroptera: Ephemerellidae). Journal of Insect Behavior 3(5):673-688."
Feeding behavior of Rhithrogena pellucida (Ephemeroptera: Heptageniidae),"McShaffrey, D., and W. P. McCafferty. 1988. Feeding behavior of Rhithrogena pellucida (Ephemeroptera: Heptageniidae). Journal of the North American Benthological Society 7(2):87-99."
Feeding behavior of Stenacron interpunctatum (Ephemeroptera: Heptageniidae),"McShaffrey, D., and W. P. McCafferty. 1986. Feeding behavior of Stenacron interpunctatum (Ephemeroptera: Heptageniidae). Journal of the North American Benthological Society 5(3):200-210."
Feeding ecology of three predacious aquatic insects and two fish in a riffle,"Fuller, R. L., and H. B. N. Hynes. 1987. Feeding ecology of three predacious aquatic insects and two fish in a riffle of the Speed River, Ontario. Hydrobiologia 150:243-255."
Feeding habits and prey consumption of three setipalpian stoneflies (Plecoptera),"Allan, J. D. 1982. Feeding habits and prey consumption of three setipalpian stoneflies (Plecoptera) in a mountain stream. Ecology 63(1):26-34."
Feeding habits of larvae of seven Rhyacophila (Trichoptera: Rhyacophilidae) species with notes on,"Thut, R. N. (1969). ""Feeding habits of larvae of seven Rhyacophila (Trichoptera: Rhyacophilidae) species with notes on other life-history features."" Annals Entomological Society of America 62(4): 894-898."
Feeding habits of Trichoptera in a mountain stream,"Mecom, J. O. 1972. Feeding habits of Trichoptera in a mountain stream. Oikos 23:401-407."
"Feeding habits of Wisconsin's Predominant lotic Plecoptera, Ephemeroptera, and Trichoptera.","Shapas, T. J., and W. L. Hilsenhoff. 1976. Feeding habits of Wisconsin's Predominant lotic Plecoptera, Ephemeroptera, and Trichoptera. The Great Lakes Entomologist 9(4):175-188."
Females of Chimarra from eastern North America,"Cooper, H. J., and J. C. Morse. 1998. Females of Chimarra (Trichoptera: Philopotamidae) from eastern North America. Journal of the New York Entomological Society 106(4):185-198."
Females of Rhyacophila from the southeastern United States,"Prather, A. L., A. L. Syrett, and J. C. Morse. 1997. Females of Rhyacophila (Trichoptera: Rhyacophilidae) from the southeastern United States. Proceedings of the 8th International Symposium on Trichoptera 1997:387-399."
Filter-feeding habits of the larvae of Anthopotamu,"McCafferty, W. P. and Y. J. Bae. 1992.  Filter-feeding habits of the larvae of Anthopotamus (Ephemeroptera: Potamanthidae).  Annls Limnol. 28(1): 27-34."
First adult description for Ephemerella hispida,"Jacobus, L. M., W. P. McCafferty, and S. Spichiger. 2002. First adult description for Ephemerella hispida (Ephemeroptera: Ephemerellidae). Entomological News 113(5):342-343."
First larval description of Paraleptophlebia calcarica,"Jacobus, L. M., and W. P. McCafferty. 2004. First larval description of Paraleptophlebia calcarica Rowbotham and Allen (Ephemeroptera: Leptophlebiidae). Journal of the Kansas Entomological Society 77(2):110-115."
First larval descriptions of two species of Paraleptophlebia,"Randolph, R. P., and W. P. McCafferty. 1996. First larval descriptions of two species of Paraleptophlebia (Ephemeroptera: Leptophlebiidae). Entomological News 107(4):225-229."
